FHZ;WLB;;
Kaffee- und Teezubehör - Kaffee - Länderkaffees;Kaffee;;
Kokoblock - Kaffee - Länderkaffees;Kaffee;;
Kaffee - Kaffee-Mischungen;Kaffee;;
Kaffee - Espresso;Espresso;;
Kaffee - Kaffee-Pads/-Kapseln;Kaffeepads;;
Kaffee - Entkoffeinierter- und Schonkaffee;Entkoffeiniert;;
Agenda-, Städte- und Partnerschaftskaffees - Rheinische Affaire, der Agenda-Kaffee für das Rheinland;Kaffee;;
Agenda-, Städte- und Partnerschaftskaffees - Partnerschafts-Kaffee Ruanda-Rheinland-Pfalz;Kaffee;;
Agenda-, Städte- und Partnerschaftskaffees - Sonstige;Kaffee;;
Agenda-, Städte- und Partnerschaftskaffees - Kaffa-Wildkaffee;Kaffee;;
Agenda-, Städte- und Partnerschaftskaffees - Löslicher Kaffee und Kaffeegetränke;Instantkaffee;;
Tee - Schwarzer Tee - Ceylon-Tee, loser Tee;Schwarzer Tee;;
Tee - Schwarzer Tee - Ceylon-Tee, Teebeutel;Schwarzer Tee;;
Tee - Schwarzer Tee - Darjeeling-Tee, loser Tee;Schwarzer Tee;;
Tee - Schwarzer Tee - Darjeeling-Tee, Teebeutel;Schwarzer Tee;;
Tee - Schwarzer Tee - Sonstige Schwarztees, loser Tee;Schwarzer Tee;;
Tee - Schwarzer Tee - Sonstige Schwarztees, Teebeutel;Schwarzer Tee;;
Tee - Schwarzer Tee - Grüner Tee, loser Tee;Grüner Tee;;
Tee - Schwarzer Tee - Grüner Tee, Teebeutel;Grüner Tee;;
Tee - Schwarzer Tee - Weißer Tee, loser Tee;Weißer Tee;;
Tee - Schwarzer Tee - Weißer Tee, Teebeutel;Weißer Tee;;
Tee - Schwarzer Tee - Rooibos u. Honeybusch, loser Tee;Rotbuschtee;;
Tee - Schwarzer Tee - Rooibos- u. Honeybusch, Teebeutel;Rotbuschtee;;
Tee - Schwarzer Tee - Mate;Mate;;
Tee - Schwarzer Tee - Kräuter- und Früchtetee, loser Tee;Kräuter- und Früchtetee;;
Tee - Schwarzer Tee - Kräuter- und Früchtetee, Teebeutel;Kräuter- und Früchtetee;;
Tee - Schwarzer Tee - Gewürztee, loser Tee;Gewürztee;;
Tee - Schwarzer Tee - Gewürzteebeutel;Gewürztee;;
Tee - Schwarzer Tee - Honig cremig;Honig;;
Tee - Schwarzer Tee - Honig flüssig;Honig;;
Tee - Schwarzer Tee - Honig-Spezialitäten/Honig-Zubereitungen;Honig;;
Brotaufstriche - Nuß- und Schokoaufstriche;Nuss- und Schokoladencremes;;
Brotaufstriche - Konfitüren, Marmeladen, Fruchtaufstriche;Marmeladen und Konfitüren;;
Brotaufstriche - Herzhafte Aufstriche;Herzhafte Brotaufstriche;;
Süßes / Snacks - Tafelschokolade - GEPA Genußsortiment Bio Flachtafeln;Tafelschokolade;;
Süßes / Snacks - Tafelschokolade - GEPA Klassiker Bio;Tafelschokolade;;
Süßes / Snacks - Tafelschokolade - GEPA Genußsortiment Bio;Tafelschokolade;;
Süßes / Snacks - Tafelschokolade - GEPA Klassiker Traditionell;Tafelschokolade;;
Süßes / Snacks - Tafelschokolade - GEPA Die Kleinen;Tafelschokolade;;
Süßes / Snacks - Tafelschokolade - GEPA Spezialitäten Grand Chocolat-Bio Flachtafeln;Tafelschokolade;;
Süßes / Snacks - Tafelschokolade - GEPA Schokoladen Vegan mit Reisdrink;Tafelschokolade;;
Süßes / Snacks - Tafelschokolade - GEPA Schokoladen Fachhandelssortiment;Tafelschokolade;;
Süßes / Snacks - Tafelschokolade - Ethiquable Bio-Schokoladen, Flachtafeln;Tafelschokolade;;
Süßes / Snacks - Tafelschokolade - El Puente Bio-Schokoladen, Flachtafeln;Tafelschokolade;;
Süßes / Snacks - Tafelschokolade - Aktionsartikel;Tafelschokolade;;
Süßes / Snacks - Tafelschokolade - Schokoriegel;Schokoriegel;;
Süßes / Snacks - Tafelschokolade - Confiserie;Confiserie;;
Süßes / Snacks - Tafelschokolade - Gebäck;Gebäck;;
Süßes / Snacks - Tafelschokolade - Chips, Sticks und Salzgebäck;Chips und Knabbereien;;
Süßes / Snacks - Tafelschokolade - Bonbons;Bonbons;;
Süßes / Snacks - Tafelschokolade - Fruchtgummis;Fruchtgummi;;
Süßes / Snacks - Tafelschokolade - Frucht-, Gemüse und Nußriegel;Nuss- und Fruchtriegel;;
Süßes / Snacks - Tafelschokolade - Waffeln;Gebäck;;
Saison Artikel - Weihnachten - Riegel;Schokoriegel;;
Saison Artikel - Weihnachten - Adventskalender;Weihnachts-LM;;
Saison Artikel - Weihnachten - Schoko-Nikoläuse, Hohlfiguren;Weihnachts-LM;;
Saison Artikel - Weihnachten - Spekulatius, Kekse, etc.;Weihnachts-LM;;
Saison Artikel - Weihnachten - Tafelschokolade;Weihnachts-LM;;
Saison Artikel - Weihnachten - Pralinen, Konfiserie;Weihnachts-LM;;
Saison Artikel - Weihnachten - Trinkschokoladen;Kakao und Trinkschokolade;;
Saison Artikel - Weihnachten - Tee;Weihnachts-LM;;
Saison Artikel - Weihnachten - Kaffee;Weihnachts-LM;;
Saison Artikel - Weihnachten - Gewürze;Weihnachts-LM;;
Saison Artikel - Weihnachten - Geschenk-Sets;KHW Weihnachten;;
Saison Artikel - Weihnachten - Karten;KHW Weihnachten;;
Saison Artikel - Weihnachten - Karneval/Jecke Fairsuchung;Karnevals-LM;;
Saison Artikel - Weihnachten - Ostern;Oster-LM;;
Saison Artikel - Weihnachten - Snacks süß & herzhaft, Müsli;Chips und Knabbereien;;
Saison Artikel - Weihnachten - Nüsse;Nüsse;;
Saison Artikel - Weihnachten - Trockenfrüchte;Trockenfrüchte;;
Saison Artikel - Weihnachten - Konserven;Feinkost;;
Saison Artikel - Weihnachten - Kakao- und Schokogetränke/Instantgetränke;Kakao und Trinkschokolade;;
Saison Artikel - Weihnachten - Zucker/Süßungsmittel;Zucker;;
Zum Kochen und Backen - Reis;Reis;;
Zum Kochen und Backen - Quinua;Quinoa;;
Nudeln/Mehl - Italien - „mafiafrei“;Nudeln;;
Nudeln/Mehl - Feinkost/Sonstiges;Feinkost;!!!;enthält auch Linsen, Bohnen, Kichererbesen
Nudeln/Mehl - Essig und Öl, Senf und Saucen;Essig und Öl;!!!;enthält auch Senf und Würzsoßen
Nudeln/Mehl - Kräuter und Gewürze;Gewürze und Kräuter;;
Nudeln/Mehl - Kräuter und Gewürze in der Mühle/Nachfüller;Gewürze und Kräuter;;
Alkoholische Getränke - Rotwein - Südafrika;Wein;;
Alkoholische Getränke - Rotwein - Argentinien;Wein;;
Alkoholische Getränke - Rotwein - Chile;Wein;;
Alkoholische Getränke - Rotwein - Italien - „mafiafrei“;Wein;;
Rosé - Südafrika;Wein;;
Rosé - Chile;Wein;;
Rosé - Italien - „mafiafrei“;Wein;;
Weißwein - Südafrika;Wein;;
Weißwein - Argentinien;Wein;;
Weißwein - Chile;Wein;;
Weißwein - Italien - „mafiafrei“;Wein;;
Weißwein - Sekt/Schaumwein;Wein;;
Weißwein - Edle Spirituosen;Alkoholische Getränke pfandfrei;;
Weißwein - Rum;Rum;;
Weißwein - Wein-Präsentkartons;Ergänzungsprodukte;;
Erfrischungsgetränke - Saft;Alkoholfreie Getränke 15 Cent Pfand;;
Erfrischungsgetränke - Cola, Limo, Smoothies;Alkoholfreie Getränke 8 Cent Pfand;;
Erfrischungsgetränke - Konzentrat/Sirup;Alkoholfreie Getränke pfandfrei;;
Großpackungen/Unverpackt - Kaffee - Röstkaffee;Kaffee;;
Großpackungen/Unverpackt - Kaffee - Espresso/Schümli;Espresso;;
Großpackungen/Unverpackt - Kaffee - Instantkaffee;Instantkaffee;;
Großpackungen/Unverpackt - Kaffee - Kochen und Backen;Getreide und Hülsenfrüchte;;
Großpackungen/Unverpackt - Kaffee - Süßigkeiten/Knabbereien;Nüsse;;
Großpackungen/Unverpackt - Kaffee - Kaffee- und Teezubehör;Ergänzungsprodukte;;
Tee - Schwarzer Tee - Sonstige;Tee;;
Süßes / Snacks - Tafelschokolade - fairafric/WeltPartner Bio-Schokoladen, Flachtafeln;Tafelschokolade;;
"Süßes / Snacks - Tafelschokolade - Zotter Bio-Schokoladen drunter & drüber/WeltPartner 
weitere Sorten auf Nachfrage";Tafelschokolade;;
Saisonartikel - Karneval/Jecke Fairsuchung;Karnevals-LM;;
Saisonartikel - Ostern;Oster-LM;;
Saisonartikel - Saison Artikel Weihnachten zum Sonderpreis;Weihnachts-LM;;
Saisonartikel - Süßwaren und Snacks;Süßwaren und Snacks;;
Saisonartikel - Snacks süß & herzhaft;Chips und Knabbereien;;
Saisonartikel - Snacks süß & herzhaft, Müsli;Müsli;;
Saisonartikel - Nüsse;Nüsse;;
Saisonartikel - Trockenfrüchte;Trockenfrüchte;;
Saisonartikel - Konserven;Soßen und Würzpasten;;
Saisonartikel - Kakao- und Schokogetränke/Instantgetränke;Kakao und Trinkschokolade;;
Saisonartikel - Zucker/Süßungsmittel;Zucker;;
Großpackungen/Unverpackt - Kaffee - Kokoblock;Haushalt und Garten;;
Süßes / Snacks - Tafelschokolade - Frucht-  und Nußriegel;Nuss- und Fruchtriegel;;
Nudeln - Italien - „mafiafrei“;Nudeln;;
Weißwein - Präsentkartons;Ergänzungsprodukte;;
Nudeln - Feinkost/Sonstiges;Feinkost;!!!;enthält auch Linsen, Bohnen, Kichererbesen
Nudeln - Essig und Öl, Senf und Saucen;Essig und Öl;!!!;enthält auch Senf und Würzsoßen
Nudeln - Kräuter und Gewürze;Gewürze und Kräuter;;
Nudeln - Kräuter und Gewürze in der Mühle/Nachfüller;Gewürze und Kräuter;;
"Süßes / Snacks - Tafelschokolade - Zotter Schokoladen 
weitere Sorten auf Nachfrage";Tafelschokolade;;
Spezialsortimente - Sonderedition „Von Herzen“;;;
Spezialsortimente - Sonderedition „Von Herzen“ - Confiserie;Confiserie;;
Spezialsortimente - Sonderedition „Von Herzen“ - Kaffee;Kaffee;;
Spezialsortimente - Sonderedition „Von Herzen“ - Espresso;Espresso;;
Spezialsortimente - Sonderedition „Von Herzen“ - Fruchtgummi;Fruchtgummi;;
Spezialsortimente - Sonderedition „Von Herzen“ - Infomaterial;Infomaterial;;
Conflictfood - Tee;Tee;;
Conflictfood - Grüner Tee;Grüner Tee;;
Conflictfood - Schwarzer Tee;Schwarzer Tee;;
Conflictfood - Kräuter- und Früchtetee;Kräuter- und Früchtetee;;
Conflictfood - Trockenfrüchte;Trockenfrüchte;;
Conflictfood - Getreide und Hülsenfrüchte;Getreide und Hülsenfrüchte;;
Conflictfood - Gewürze und Kräuter;Gewürze und Kräuter;;
Conflictfood - Infomaterial;Infomaterial;;
Saisonartikel - Weihnachten - Riegel;Schokoriegel;;
Saisonartikel - Weihnachten - Adventskalender;Weihnachts-LM;;
Saisonartikel - Weihnachten - Schoko-Nikoläuse, Hohlfiguren;Weihnachts-LM;;
Saisonartikel - Weihnachten - Spekulatius, Kekse, etc.;Weihnachts-LM;;
Saisonartikel - Weihnachten - Tafelschokolade;Weihnachts-LM;;
Saisonartikel - Weihnachten - Zucker/Süßungsmittel;Weihnachts-LM;;
Saisonartikel - Weihnachten - Pralinen, Konfiserie;Weihnachts-LM;;
Saisonartikel - Weihnachten - Trinkschokoladen;Weihnachts-LM;;
Saisonartikel - Weihnachten - Tee;Weihnachts-LM;;
Saisonartikel - Weihnachten - Kaffee;Weihnachts-LM;;
Saisonartikel - Weihnachten - Getränke;Getränke;;
Saisonartikel - Weihnachten - Gewürze;Weihnachts-LM;;
Saisonartikel - Weihnachten - Geschenk-Sets;KHW Weihnachten;;
Saisonartikel - Weihnachten - Karten;KHW Weihnachten;;
Saisonartikel - Weihnachten - Verkaufshilfen/Infomaterial;Infomaterial;;
Saisonartikel - Weihnachten - Snacks süß & herzhaft;Chips und Knabbereien;;
Saisonartikel - Weihnachten - Nüsse;Nüsse;;
Saisonartikel - Weihnachten - Trockenfrüchte;Trockenfrüchte;;
Saisonartikel - Weihnachten - Konserven;Feinkost;;
Saisonartikel - Weihnachten - Kakao- und Schokogetränke/Instantgetränke;Kakao und Trinkschokolade;;
